conversation_id,model,coherence,depth,progress,naturalness,empathy,mi_alignment_therapist,mi_alignment_client,mi_alignment,comment
session_35,gpt-5-nano,4.0,3.0,3.5,3.5,3.0,4.0,3.5,3.75,|
session_62,gpt-5-nano,4.0,4.0,4.0,4.0,4.0,3.5,3.5,3.5,|
session_111,gpt-5-nano,3.0,2.5,2.5,2.0,3.0,2.0,2.5,2.25,|
session_116,gpt-5-nano,3.5,3.0,3.0,2.5,3.0,2.5,3.0,2.75,|
session_207,gpt-5-nano,2.5,3.0,3.5,2.5,3.0,2.5,3.0,2.75,|
session_285,gpt-5-nano,3.5,3.0,3.5,3.0,3.0,3.0,3.0,3.0,|
session_325,gpt-5-nano,3.5,4.0,4.0,4.0,3.5,4.0,3.0,3.5,|
session_420,gpt-5-nano,3.0,3.0,3.5,3.0,3.5,3.0,3.5,3.25,|
session_473,gpt-5-nano,3.5,3.5,4.0,3.5,3.5,3.5,3.5,3.5,|
session_539,gpt-5-nano,4.0,3.5,3.5,4.0,3.5,3.0,4.0,3.5,|
session_594,gpt-5-nano,3.5,4.0,4.5,4.5,5.0,4.5,4.0,4.25,|
session_653,gpt-5-nano,3.0,3.5,3.5,3.0,4.0,3.5,4.0,3.75,|
session_698,gpt-5-nano,3.5,3.5,3.5,3.0,3.5,4.0,3.5,3.75,|
session_735,gpt-5-nano,3.5,4.5,4.5,3.0,4.0,4.0,4.0,4.0,|
session_769,gpt-5-nano,4.0,4.5,4.0,3.5,4.5,4.5,5.0,4.75,|
session_837,gpt-5-nano,4.0,3.0,4.0,3.0,3.5,3.5,3.5,3.5,|
session_854,gpt-5-nano,3.5,3.0,4.0,3.5,3.5,3.0,4.0,3.5,|
session_880,gpt-5-nano,2.5,2.5,2.5,2.0,3.5,2.5,3.5,3.0,|
session_928,gpt-5-nano,3.0,3.0,3.0,2.5,3.0,3.5,3.5,3.5,|
session_982,gpt-5-nano,3.5,3.0,4.0,4.0,4.0,4.0,3.0,3.5,|
