Model,Metric,Median,Mean,Std,Min,Max
gemma:7b,Coherence,4.0,3.983,0.2381407147045628,2.0,5.0
gemma:7b,Depth,3.0,3.759,1.0251434046024976,1.0,5.0
gemma:7b,Empathy,5.0,4.628,0.7427085565684564,1.0,5.0
gemma:7b,MI Alignment,3.3333,2.9979961000000004,0.9296649455555426,0.0,4.0
gemma:7b,Naturalness,4.0,4.386,0.7120421335848041,1.0,5.0
gemma:7b,Progress,4.0,4.34,0.6666333324999583,1.0,5.0
gpt-5-nano,Coherence,3.5,3.425,0.45483513496650635,2.5,4.0
gpt-5-nano,Depth,3.0,3.35,0.5722761571129799,2.5,4.5
gpt-5-nano,Empathy,3.5,3.575,0.5309190145398825,3.0,5.0
gpt-5-nano,MI Alignment,3.5,3.4625,0.5377906191074738,2.25,4.75
gpt-5-nano,Naturalness,3.0,3.2,0.6782329983125268,2.0,4.5
gpt-5-nano,Progress,3.5,3.625,0.5448623679425842,2.5,4.5
llama3.1:8b,Coherence,4.0,4.002,0.0446766158073773,4.0,5.0
llama3.1:8b,Depth,5.0,4.959,0.2220788148383361,3.0,5.0
llama3.1:8b,Empathy,5.0,4.966,0.181229136730273,4.0,5.0
llama3.1:8b,MI Alignment,3.7586,3.6816928,0.3984309883382064,0.7586,4.0
llama3.1:8b,Naturalness,5.0,4.615,0.4865953144040745,4.0,5.0
llama3.1:8b,Progress,5.0,4.513,0.4998309714293424,4.0,5.0
openchat:7b,Coherence,4.0,4.002,0.0894203556244326,2.0,5.0
openchat:7b,Depth,3.0,3.056,0.335952377577537,1.0,5.0
openchat:7b,Empathy,4.0,4.458,0.5101333159086947,1.0,5.0
openchat:7b,MI Alignment,3.3125,3.2796611999999996,0.3844076951552349,0.0,4.0
openchat:7b,Naturalness,4.0,4.202,0.4113344138289428,2.0,5.0
openchat:7b,Progress,4.0,4.391,0.490019387371561,3.0,5.0
phi4:14b,Coherence,5.0,4.758,0.4465825791497022,2.0,5.0
phi4:14b,Depth,4.0,3.725,0.5209366564180333,1.0,5.0
phi4:14b,Empathy,5.0,4.954,0.2790770502925671,2.0,5.0
phi4:14b,MI Alignment,3.9231,3.3820465000000004,1.0276435848034813,0.0,4.0
phi4:14b,Naturalness,5.0,4.902,0.3104770522921138,3.0,5.0
phi4:14b,Progress,5.0,4.566,0.5706522583850869,1.0,5.0
qwen2.5:7b,Coherence,4.0,4.024,0.1530490117576719,4.0,5.0
qwen2.5:7b,Depth,3.0,3.571,0.8859791193927766,2.0,5.0
qwen2.5:7b,Empathy,5.0,4.618,0.5099764700454326,1.0,5.0
qwen2.5:7b,MI Alignment,3.6382,3.6045129,0.2591491766214779,1.8276,4.0
qwen2.5:7b,Naturalness,4.0,4.198,0.4156873825364441,2.0,5.0
qwen2.5:7b,Progress,5.0,4.611,0.4895702196825293,3.0,5.0
